ref,contact_email,enrolled_on,plan_tier,referral_code,opt_in
SGN-2-000050,netage69@corvus.org,01-03-2024,growth,4PEHIVET,yes
SGN-2-000051,gepupi38@eastwind.co,13-11-2024,starter,,no
SGN-2-000052,venita13@brightmail.dev,15-08-2025,starter,,no
SGN-2-000053,nameki63@eastwind.co,25-04-2025,scale,,yes
SGN-2-000054,kuzove76@corvus.org,28-01-2024,scale,BOW3RTVI,no
SGN-2-000055,dunene71@arcline.io,14-02-2024,scale,,yes
SGN-2-000056,rasini85@delta-post.net,12-01-2025,scale,E88DJ3UW,no
SGN-2-000057,silofu37@arcline.io,11-09-2024,scale,K5EQLNRA,yes
SGN-2-000058,dokeso27@arcline.io,09-01-2024,scale,AF35I0OI,yes
SGN-2-000059,lutefe34@arcline.io,25-10-2024,starter,95PNYRR0,yes
SGN-2-000060,tazelu57@corvus.org,11-08-2024,growth,MI5VN3SL,no
SGN-2-000061,@eastwind.co,28-09-2025,starter,DTO1PKQP,no
SGN-2-000062,simeke29@eastwind.co,10-08-2025,starter,G7LA8XKF,yes
SGN-2-000063,tigele60@brightmail.dev,23-06-2024,growth,,yes
,keboti93@eastwind.co,09-09-2025,growth,P3QBGET9,yes
SGN-2-000065,movimo89@corvus.org,26-05-2025,starter,CATY4SOT,no
SGN-2-000066,lalela79@eastwind.co,28-05-2025,growth,STQD60HY,no
SGN-2-000067,vebuka57@brightmail.dev,12-01-2024,growth,5IA6HEQ8,no
SGN-2-000068,gosobe53@delta-post.net,09-10-2025,scale,,no
SGN-2-000069,bezisi40@brightmail.dev,22-12-2025,scale,92EGO8H5,no
SGN-2-000070,bonoma74@corvus.org,15-06-2025,scale,TRN0U0AM,no
SGN-2-000071,sefegu77@eastwind.co,,scale,OCPU3QGO,yes
SGN-2-000072,biceki62@eastwind.co,17-12-2024,starter,,yes
SGN-2-000073,zadozi70@delta-post.net,26-12-2024,scale,,yes
SGN-2-000074,vuvipu27@arcline.io,09-10-2024,growth,,yes
SGN-2-000075,vasafa83@arcline.io,19-10-2025,growth,GEMUWPW8,yes
SGN-2-000076,gacebo17@eastwind.co,13-09-2024,growth,MC5TO52E,yes
SGN-2-000077,gepugi36@brightmail.dev,24-01-2025,starter,91L31PQO,yes
SGN-2-000078,cefimi59@arcline.io,22-12-2025,starter,6SVTR7LP,yes
SGN-2-000079,puvuvo12@corvus.org,23-12-2025,starter,G26A8DFH,no
SGN-2-000080,lunuzu85@brightmail.dev,06-01-2024,starter,5W3RHHDJ,yes
SGN-2-000081,litigi39@eastwind.co,19-10-2025,scale,,no
SGN-2-000082,zaluki96@brightmail.dev,12-11-2025,growth,,yes
SGN-2-000083,levise30@eastwind.co,21-09-2025,starter,KON23976,yes
SGN-2-000084,boraza67@brightmail.dev,09-03-2025,scale,,no
SGN-2-000085,bobemu35@brightmail.dev,23-02-2024,starter,,no
SGN-2-000086,piluge13@arcline.io,20-09-2024,starter,,no
SGN-2-000087,sapumo88@eastwind.co,17-12-2025,starter,,yes
SGN-2-000088,dotipa96@brightmail.dev,09-07-2024,scale,IC3CKN7M,yes
SGN-2-000089,foposo52@corvus.org,26-06-2024,growth,XDH9YSSS,yes
SGN-2-000090,rimugu58@corvus.org,04-11-2025,scale,HVOJ5G2B,no
SGN-2-000091,lofiba31@corvus.org,04-03-2024,starter,VVDYB0KW,yes
SGN-2-000092,naluke45@eastwind.co,01-01-2024,scale,4TI46QOC,no
SGN-2-000093,pupuso33@arcline.io,02-12-2024,starter,,no
SGN-2-000094,zebuco54@delta-post.net,26-07-2024,scale,,yes
SGN-2-000095,vuvoca53@brightmail.dev,08-01-2024,scale,6G6EOFKJ,yes
SGN-2-000096,tozeko90@corvus.org,27-05-2024,growth,,yes
SGN-2-000097,somima89@arcline.io,27-01-2025,starter,,yes
SGN-2-000098,gusazo63@corvus.org,26-04-2024,starter,,yes
SGN-2-000099,sutazo14@delta-post.net,08-09-2025,starter,QSUUR1SH,yes
SGN-2-000100,fivede29@delta-post.net,15-11-2024,growth,,no
SGN-2-000101,vokaro44@corvus.org,16-01-2024,scale,,no
SGN-2-000102,pomolo89@arcline.io,23-05-2025,starter,RDGVPHDG,yes
SGN-2-000103,ruzeze65@eastwind.co,07-10-2025,growth,KBNM25I4,yes
SGN-2-000104,zuroce17@eastwind.co,22-04-2025,growth,L2IEFWZ5,no
SGN-2-000105,tecice23@arcline.io,08-05-2025,scale,04E4GAM2,yes
SGN-2-000106,puluka70@corvus.org,13-03-2024,growth,,yes
SGN-2-000107,somiso13@delta-post.net,15-08-2025,scale,1UBJBH70,yes
SGN-2-000108,pomopi14@brightmail.dev,13-05-2024,growth,WWO7RTR8,yes
SGN-2-000109,cokupo86@arcline.io,22-07-2024,scale,W4PP1LAC,yes
SGN-2-000110,dokoki19@corvus.org,24-06-2024,scale,,yes
SGN-2-000111,roketi12@corvus.org,06-11-2025,starter,,no
SGN-2-000112,figudi58@delta-post.net,05-09-2024,scale,,yes
SGN-2-000113,sotefo71@brightmail.dev,23-11-2024,starter,ADTP9540,no
SGN-2-000114,zorifa34@arcline.io,21-04-2025,starter,JQW0PQHB,yes
SGN-2-000115,musini93@eastwind.co,20-05-2025,scale,,yes
SGN-2-000116,biguze70@brightmail.dev,15-12-2025,growth,M8RRVBZW,yes
SGN-2-000117,kileve85@corvus.org,06-06-2025,starter,WHLIYRFC,no
SGN-2-000118,ragono90@arcline.io,07-06-2025,starter,VIKK5IZ5,no
SGN-2-000119,lumala50@delta-post.net,24-02-2024,scale,3Z6F0GNH,no
SGN-2-000120,busavi24@corvus.org,01-12-2025,growth,,yes
SGN-2-000121,pokuto85@brightmail.dev,14-10-2025,scale,C3UME59I,no
SGN-2-000122,dubunu80@eastwind.co,18-09-2025,scale,CJSIAIBP,yes
SGN-2-000123,rakozu64@eastwind.co,07-10-2024,starter,USG6P5FX,no
SGN-2-000124,cucido56@corvus.org,07-01-2025,scale,,yes
SGN-2-000125,vopoto24@corvus.org,17-12-2025,growth,,yes
SGN-2-000126,tiz ago32@corvus.org,14-06-2025,starter,,yes
SGN-2-000127,kukota34@arcline.io,01-09-2024,growth,UIX5VMPQ,no
SGN-2-000128,fesuda73@delta-post.net,23-07-2024,starter,M48FRNSZ,no
SGN-2-000129,sorive73@delta-post.net,02-02-2024,starter,E5X6BP5J,yes
SGN-2-000130,zufupo81@delta-post.net,03-10-2025,starter,SJLRMSYO,yes
SGN-2-000131,kakupu94@corvus.org,20-05-2025,scale,DBURCD5W,no
SGN-2-000132,mevevo94@corvus.org,,starter,IX76WN8P,yes
SGN-2-000133,zebafo42@arcline.io,13-10-2024,scale,I6SSDN9I,yes
SGN-2-000134,kanugi20@brightmail.dev,09-09-2025,growth,VR4WCD5P,no
SGN-2-000135,nereto60@brightmail.dev,23-05-2025,starter,,yes
SGN-2-000136,kuzuvo39@delta-post.net,06-04-2024,starter,X7K2STDU,yes
SGN-2-000137,kafide20@brightmail.dev,05-03-2024,scale,,no
SGN-2-000138,futisu54@corvus.org,09-02-2024,growth,UAYE1ATB,yes
SGN-2-000139,pefefe88@brightmail.dev,16-11-2025,growth,SY14YEKX,yes
SGN-2-000140,mekidu72@delta-post.net,13-11-2024,scale,,yes
SGN-2-000141,sogona56@corvus.org,15-03-2024,starter,R2RYJC8H,yes
SGN-2-000142,zararu16@arcline.io,28-07-2025,scale,LIA6XCEG,yes
SGN-2-000143,tuzibi39@corvus.org,24-08-2025,growth,Z7T7TYU6,no
SGN-2-000144,kuseka55@eastwind.co,02-06-2025,starter,,yes
SGN-2-000145,lomuda23@brightmail.dev,24-09-2024,growth,6L70HREH,yes
SGN-2-000146,pipava16@arcline.io,06-04-2024,scale,E7DDEZLA,no
SGN-2-000147,tazifi87@@brightmail.dev,28-09-2024,scale,KJO7SJMC,yes
SGN-2-000148,razebo68@arcline.io,09-01-2025,growth,,no
SGN-2-000149,golimi85@eastwind.co,14-08-2024,starter,KHBA0J8B,no
SGN-2-000150,colelo55@delta-post.net,05-09-2024,starter,263AN54E,yes
SGN-2-000151,zarare64@intranet,01-06-2024,growth,HANECXA1,no
SGN-2-000152,pumuki76@arcline.io,08-04-2025,starter,SNII3KY2,yes
SGN-2-000153,zacadu54@delta-post.net,24-02-2024,scale,,yes
SGN-2-000154,ketula37@brightmail.dev,13-03-2024,growth,,no
SGN-2-000155,levani93@arcline.io,06-09-2025,growth,L5WCOLAF,no
SGN-2-000156,gemuci98@arcline.io,09-04-2024,growth,,no
SGN-2-000157,zaculu88@corvus.org,03-04-2024,starter,,yes
SGN-2-000158,dabifu66@corvus.org,26-01-2025,growth,,no
SGN-2-000159,sudive27@eastwind.co,22-03-2025,scale,,no
SGN-2-000160,divinu30@delta-post.net,01-08-2024,growth,,yes
SGN-2-000161,pugasa24@brightmail.dev,26-07-2025,scale,HGDZCTP1,yes
SGN-2-000162,@arcline.io,11-12-2025,growth,,no
SGN-2-000163,dovapa40@delta-post.net,01-02-2025,starter,,yes
SGN-2-000164,botaru41@arcline.io,27-03-2025,scale,,yes
SGN-2-000165,kuvezi69@corvus.org,26-06-2024,starter,0OUX9GC9,yes
SGN-2-000166,vinobi40@brightmail.dev,22-07-2025,scale,MMQPNKPN,no
SGN-2-000167,bobako12@brightmail.dev,16-09-2024,starter,L73M36XW,yes
SGN-2-000168,kokupe27@eastwind.co,05-04-2024,scale,,no
SGN-2-000169,futaza99@delta-post.net,06-06-2024,growth,XS18CNF7,no
SGN-2-000170,safoga97@eastwind.co,13-12-2024,growth,,no
SGN-2-000171,rabume50@arcline.io,09-03-2025,scale,,yes
SGN-2-000172,zeneba63@delta-post.net,17-02-2025,starter,,no
SGN-2-000173,metupu61@arcline.io,11-03-2024,starter,,yes
SGN-2-000174,pupebi59@delta-post.net,28-12-2025,growth,C94XM66B,yes
SGN-2-000175,vikaco32@@corvus.org,16-11-2025,scale,7HQUGKXJ,no
SGN-2-000176,dukapo90@arcline.io,09-02-2025,starter,092QM4K3,yes
SGN-2-000177,fidada73@delta-post.net,09-09-2024,growth,,yes
SGN-2-000178,rocaga93@arcline.io,19-06-2025,growth,8RTUTY3I,yes
SGN-2-000179,lireke89@eastwind.co,03-08-2024,scale,6MUM41X8,yes
SGN-2-000180,larita61@arcline.io,24-12-2024,scale,,no
SGN-2-000181,mesenu45@corvus.org,14-03-2025,starter,ZZP30335,yes
SGN-2-000182,soroti74@delta-post.net,11-04-2025,starter,31Z8O35D,no
SGN-2-000183,@arcline.io,09-05-2025,growth,QLF8Z9NV,yes
SGN-2-000184,mumubi80@brightmail.dev,14-03-2024,scale,,yes
SGN-2-000185,migisu13@corvus.org,16-08-2024,starter,,no
SGN-2-000186,ripazo57@delta-post.net,01-12-2024,starter,6NX7RKIA,yes
SGN-2-000187,topupa30@delta-post.net,23-03-2024,growth,70HMAGB6,yes
SGN-2-000188,cadupi84@corvus.org,21-11-2024,scale,,no
SGN-2-000189,dipabu21@corvus.org,02-10-2025,scale,,no
SGN-2-000190,kubuku27@delta-post.net,16-10-2025,growth,WEB0BR1D,no
SGN-2-000191,cemimo42@corvus.org,13-10-2024,growth,,no
SGN-2-000192,nezubi21@arcline.io,25-06-2025,starter,FIA8WD5U,no
SGN-2-000193,vuface35@brightmail.dev,23-05-2025,scale,,no
SGN-2-000194,lof afu65@delta-post.net,24-11-2025,starter,,yes
SGN-2-000195,tatale98@delta-post.net,05-07-2025,scale,EJG35VG3,no
SGN-2-000196,gacepu50@corvus.org,09-04-2025,growth,,no
SGN-2-000197,fazuso26@arcline.io,03-12-2025,growth,CVP01JXX,yes
SGN-2-000198,lumete87@eastwind.co,09-09-2024,growth,IUKUVICM,no
SGN-2-000199,zaconu23@corvus.org,08-11-2024,scale,D1DS9HS4,no
SGN-2-000200,corasu98@brightmail.dev,23-09-2025,growth,,no
,nulemo46@brightmail.dev,08-02-2025,starter,719DRLHC,no
SGN-2-000202,sanori46@delta-post.net,05-11-2025,scale,VAG5EPLQ,yes
SGN-2-000203,gigegi15@arcline.io,11-10-2025,growth,VM6I8GRY,no
SGN-2-000204,ticuda46@arcline.io,14-09-2024,growth,,yes
SGN-2-000205,reruba85@eastwind.co,20-06-2024,growth,M7NHTDN1,yes
SGN-2-000206,nomuri39@delta-post.net,06-10-2025,starter,,no
SGN-2-000207,lonudo86@brightmail.dev,16-02-2025,scale,50E3GMO9,no
SGN-2-000208,vegino87@arcline.io,08-10-2025,scale,,no
SGN-2-000209,babigu13@intranet,17-12-2025,growth,K1F2BYNJ,yes
SGN-2-000210,femuda21@brightmail.dev,03-01-2024,growth,,no
SGN-2-000211,devacu94@corvus.org,07-09-2024,starter,,yes
SGN-2-000212,moraga50@eastwind.co,24-10-2025,growth,1R8L2F32,no
SGN-2-000213,difugu81@delta-post.net,22-02-2025,starter,SSF8L0XU,no
SGN-2-000214,farapo40@arcline.io,01-05-2024,growth,U2O5I0Z1,yes
SGN-2-000215,vabigu87@eastwind.co,27-08-2025,scale,KI99YO1F,no
SGN-2-000216,serozu34@corvus.org,19-12-2025,scale,CTDSMY1E,yes
,cutace58@brightmail.dev,08-09-2025,scale,8B49UH77,yes
SGN-2-000218,pofacu71@brightmail.dev,08-09-2024,starter,,no
SGN-2-000219,lupadu19@corvus.org,26-01-2024,starter,,no
SGN-2-000220,guruta96@brightmail.dev,02-01-2024,starter,ZD8PZ615,no
SGN-2-000221,tusezu60@corvus.org,10-04-2024,growth,,yes
SGN-2-000222,kun ubu13@corvus.org,13-10-2025,growth,,yes
SGN-2-000223,vuvili63@delta-post.net,11-04-2024,starter,,no
SGN-2-000224,secazi48@arcline.io,22-06-2025,starter,,yes
SGN-2-000225,dusami23@corvus.org,01-07-2025,scale,CJ8Y8QE3,no
SGN-2-000226,purudo37@corvus.org,12-06-2025,scale,E21WLE7V,yes
SGN-2-000227,bemile16@brightmail.dev,19-12-2025,growth,LP9WH127,no
SGN-2-000228,mezosa59@corvus.org,24-05-2024,starter,COTHGX08,no
SGN-2-000229,ludeta80@arcline.io,27-06-2024,starter,59RR5GTS,no
SGN-2-000230,dupive94@arcline.io,17-02-2024,growth,,yes
SGN-2-000231,fenode77@arcline.io,23-01-2025,starter,Z6CJA84E,yes
SGN-2-000232,sikopo71@arcline.io,26-04-2025,scale,,yes
SGN-2-000233,gizizu48@@eastwind.co,16-10-2024,growth,,no
SGN-2-000234,ratalu17@delta-post.net,05-06-2024,growth,BK1ZQDPC,yes
SGN-2-000235,sobato93@@eastwind.co,22-02-2024,growth,,no
SGN-2-000236,legodi15@corvus.org,27-10-2025,growth,F9N1C1RP,yes
SGN-2-000237,fumepe62@brightmail.dev,25-06-2024,scale,HXWGPY3R,no
SGN-2-000238,vudolo83@eastwind.co,28-12-2025,scale,VZAKX81D,no
SGN-2-000239,berira60@delta-post.net,07-12-2024,starter,,yes
SGN-2-000240,mamebo47@corvus.org,07-08-2025,growth,,no
SGN-2-000241,dafaze58@arcline.io,24-01-2024,growth,OH2U487L,no
SGN-2-000242,batugi48@eastwind.co,20-11-2025,scale,,no
SGN-2-000243,bizino76@brightmail.dev,25-01-2024,growth,,yes
SGN-2-000244,biceri25@eastwind.co,04-04-2024,starter,,yes
SGN-2-000245,gologi90@eastwind.co,22-12-2024,growth,,yes
SGN-2-000246,cudime98@delta-post.net,16-04-2025,scale,XW2XE5AT,no
SGN-2-000247,motuva11@corvus.org,13-06-2024,starter,,yes
SGN-2-000248,gabare85@corvus.org,17-08-2025,scale,,no
SGN-2-000249,leconi87@arcline.io,06-01-2025,starter,,no
SGN-2-000250,cututi94@eastwind.co,19-08-2024,starter,,yes
SGN-2-000251,puzici32@corvus.org,09-01-2025,growth,,no
SGN-2-000252,nibale22@brightmail.dev,16-11-2024,growth,QWKGFLPZ,yes
SGN-2-000253,kubevo26@brightmail.dev,11-03-2025,starter,,no
SGN-2-000254,tidemo23@eastwind.co,10-10-2024,growth,WRT92SPO,no
SGN-2-000255,goleli54@corvus.org,25-02-2025,starter,,yes
SGN-2-000256,bagezi96@delta-post.net,12-09-2024,growth,GH5RSG3F,yes
SGN-2-000257,@delta-post.net,11-11-2025,scale,SHDLTHFD,no
SGN-2-000258,casule93@delta-post.net,24-05-2024,growth,5T0U8TMH,no
SGN-2-000259,zamemo50@delta-post.net,01-12-2025,starter,U0D1BW6G,no
SGN-2-000260,felegu55@eastwind.co,19-02-2025,growth,9ZO2VD55,yes
,robopu39@arcline.io,25-07-2025,scale,JSVBFPP9,no
SGN-2-000262,gemifa79@brightmail.dev,03-01-2025,starter,CGTP51LZ,no
SGN-2-000263,kupigo49@delta-post.net,10-10-2025,scale,0HVPJ2HT,no
SGN-2-000264,dekara56@brightmail.dev,07-02-2024,starter,,yes
SGN-2-000265,zacegi44@arcline.io,11-07-2025,growth,,yes
SGN-2-000266,vudomo68@brightmail.dev,25-09-2024,scale,,no
SGN-2-000267,tamegu58@brightmail.dev,15-07-2025,starter,,yes
SGN-2-000268,gosoka67@brightmail.dev,09-05-2024,scale,,no
SGN-2-000269,sopamo98@brightmail.dev,20-11-2025,starter,6FYYDV08,yes
SGN-2-000270,foriru56@delta-post.net,20-02-2024,scale,K1EDQYDL,yes
SGN-2-000271,lunace45@arcline.io,17-03-2024,scale,,no
SGN-2-000272,cebuli60@arcline.io,19-07-2024,growth,XITGFX05,no
SGN-2-000273,sibepe78@arcline.io,26-07-2024,scale,839MIO96,no
SGN-2-000274,nugafu81@eastwind.co,26-03-2024,starter,5D0URK3T,yes
SGN-2-000275,cokaze45@corvus.org,24-02-2024,growth,,yes
,gebogu15@eastwind.co,15-01-2025,starter,Z341AVYF,yes
SGN-2-000277,zibizi47@corvus.org,18-06-2024,scale,XBZB4NO8,yes
SGN-2-000278,zitusi78@eastwind.co,13-03-2024,growth,,yes
SGN-2-000279,cobavi74@brightmail.dev,21-05-2024,scale,,no
SGN-2-000280,vekabo67@eastwind.co,25-12-2025,growth,F2TTJDOC,no
SGN-2-000281,zibabe11@eastwind.co,02-03-2024,scale,,no
SGN-2-000282,rakido11@corvus.org,12-11-2024,growth,,yes
SGN-2-000283,dagemi89@brightmail.dev,16-02-2024,growth,LMPSPV7U,yes
SGN-2-000284,vekusi44@delta-post.net,28-08-2024,starter,QDRY9LZ5,no
SGN-2-000285,@delta-post.net,12-05-2025,scale,,yes
SGN-2-000286,bivuku88@brightmail.dev,14-09-2024,growth,EFQ68TMS,yes
SGN-2-000287,tivudo56@arcline.io,24-06-2024,starter,AJG4HOFH,yes
SGN-2-000288,butuca27@corvus.org,05-06-2025,starter,,yes
SGN-2-000289,laguda38@corvus.org,14-12-2024,scale,EE3CRELA,yes
SGN-2-000290,fimata78@delta-post.net,14-05-2024,scale,,yes
SGN-2-000291,kifuzo67@eastwind.co,,starter,,yes
SGN-2-000292,cakubi62@brightmail.dev,24-10-2025,starter,U6C5XMQL,no
SGN-2-000293,kisela92@arcline.io,13-11-2024,scale,3H0BISN1,no
SGN-2-000294,cibifi81@delta-post.net,18-01-2025,starter,,no
SGN-2-000295,zakoni66@brightmail.dev,06-04-2024,scale,CD3C4XP5,no
SGN-2-000296,melipa79@delta-post.net,02-02-2025,growth,,no
SGN-2-000297,moluca50@delta-post.net,18-12-2024,scale,,yes
SGN-2-000298,vocazo41@brightmail.dev,27-03-2024,scale,,yes
SGN-2-000299,firude54@eastwind.co,12-03-2025,growth,J0NSY3KR,no
SGN-2-000300,porono96@arcline.io,19-12-2024,growth,USYP55TY,no
SGN-2-000301,covulo80@eastwind.co,22-04-2024,growth,7PP8JKVA,yes
SGN-2-000302,niluro36@arcline.io,08-01-2025,growth,,yes
SGN-2-000303,cumura85@eastwind.co,14-01-2024,scale,SSFO0DC8,yes
SGN-2-000304,bilava51@corvus.org,02-11-2025,scale,FDNW8GAV,yes
SGN-2-000305,bikova77@brightmail.dev,13-06-2024,starter,,yes
SGN-2-000306,lacoci15@arcline.io,25-02-2024,growth,JOWK55H9,no
SGN-2-000307,funeta51@corvus.org,23-11-2025,starter,,yes
SGN-2-000308,bubini74@brightmail.dev,11-03-2025,growth,K1AQAJU2,yes
SGN-2-000309,fufidu75@eastwind.co,07-08-2024,scale,,no
SGN-2-000310,cevelu84@brightmail.dev,15-04-2025,growth,ALMSTG4D,no
SGN-2-000311,guzego88@arcline.io,15-06-2025,scale,EJ7EP7ZM,no
SGN-2-000312,betoce53@delta-post.net,09-03-2024,scale,,yes
SGN-2-000313,digobi24@arcline.io,06-11-2025,starter,,yes
SGN-2-000314,cefoci72@arcline.io,16-07-2025,starter,,no
SGN-2-000315,vapodu24@corvus.org,05-07-2024,starter,,no
SGN-2-000316,futumu81@eastwind.co,17-04-2024,growth,,no
SGN-2-000317,kacadu68@delta-post.net,25-04-2025,starter,57YMKL3S,no
SGN-2-000318,kipavi18@brightmail.dev,28-09-2025,starter,,yes
SGN-2-000319,fecemi18@arcline.io,09-07-2024,scale,LWU9YBXL,no
SGN-2-000320,rumotu83@arcline.io,16-08-2025,starter,QZMHS6DJ,yes
SGN-2-000321,vidagu82@eastwind.co,13-10-2024,starter,R5DH8989,no
SGN-2-000322,sicuse10@intranet,12-02-2025,scale,,yes
SGN-2-000323,mirepa67@delta-post.net,07-04-2025,scale,,yes
SGN-2-000324,fipoco79@delta-post.net,18-07-2025,starter,TA0G2N0O,no
SGN-2-000325,gisati78@brightmail.dev,28-04-2025,starter,59G8UKRI,no
SGN-2-000326,tisipi64@brightmail.dev,14-09-2024,starter,ANIM7SPI,yes
SGN-2-000327,rosepo86@brightmail.dev,05-06-2025,starter,CKOV09FJ,no
SGN-2-000328,tutafu44@arcline.io,03-09-2024,growth,,no
SGN-2-000329,zolego40@eastwind.co,14-04-2024,growth,,yes
SGN-2-000330,sevuti15@delta-post.net,,starter,ZTYDDY10,no
SGN-2-000331,fosilu70@corvus.org,09-05-2024,scale,55ZS19A2,yes
SGN-2-000332,rasagi15@delta-post.net,08-11-2025,scale,,yes
SGN-2-000333,dukeri69@delta-post.net,08-07-2024,starter,D8JXEEEW,yes
SGN-2-000334,norifa79@brightmail.dev,28-04-2025,growth,NB2OTPEM,yes
SGN-2-000335,livala53@delta-post.net,12-05-2024,growth,,yes
SGN-2-000336,nuguru40@eastwind.co,15-11-2025,growth,Y5ZSXX21,yes
SGN-2-000337,futoso74@arcline.io,15-06-2025,starter,,no
SGN-2-000338,veceka24@delta-post.net,06-01-2024,starter,QCNZFUZB,yes
SGN-2-000339,votali12@arcline.io,01-12-2025,scale,R4VVAEP7,yes
SGN-2-000340,refotu22@arcline.io,15-11-2024,starter,8IR73PFX,no
SGN-2-000341,mamifu46@delta-post.net,,scale,ODLKX9OL,yes
SGN-2-000342,morota32@arcline.io,06-03-2024,scale,,yes
SGN-2-000343,vovela84@corvus.org,10-09-2025,growth,CKDVUSOZ,yes
SGN-2-000344,kumeso42@brightmail.dev,04-09-2024,starter,JQS1QH3A,no
SGN-2-000345,noseto24@delta-post.net,25-10-2025,scale,06SZAG2Y,yes
SGN-2-000346,mubafe92@eastwind.co,27-01-2024,growth,7BDH6VY3,no
SGN-2-000347,riceno21@brightmail.dev,19-07-2024,scale,WCHBF6HV,no
SGN-2-000348,dasaki65@eastwind.co,19-05-2024,starter,,yes
SGN-2-000349,latari23@brightmail.dev,11-08-2024,scale,,no
SGN-2-000350,felida53@arcline.io,02-03-2024,starter,,no
SGN-2-000351,fenaki87@arcline.io,28-09-2024,growth,OR0JD93S,yes
SGN-2-000352,meguco30@delta-post.net,19-10-2025,starter,SI6VJ9KS,no
SGN-2-000353,sicopu33@delta-post.net,10-08-2025,starter,,yes
SGN-2-000354,dobuze21@arcline.io,13-05-2024,scale,,yes
SGN-2-000355,logeri27@corvus.org,16-02-2025,starter,3LZ31IIU,no
SGN-2-000356,zuvivo83@delta-post.net,22-04-2025,growth,,yes
SGN-2-000357,vakade50@eastwind.co,05-01-2025,starter,2HOE1RN5,no
